review,image_urls,name,date,images
loved it,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Elijah                                                    ,04-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
Great shorts for an all white outfit.,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Michael                                                    ,01-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
"quality material, great fabric colorud83dudc4d",https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Logan                                                    ,03-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
Shorts were very nice with the exception I got the wrong size. But they are great shorts.,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,jack                                                    ,01-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
I was so pleasantly surprised how comfortable these are,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Sergio                                                    ,29-Dec-20,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
hese shorts are awesome for the price.,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Dan                                                    ,24-Dec-20,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
"he size is perfect! Great quality, well made, beautiful and very comfortable for gym and balling.",https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Alison                                                    ,24-Dec-20,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
Summer time shorts or play basket ball as well,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,jack J.                                                    ,10-Jul-20,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
"I like the fitting!! Medium size for 5""7 like me.. It does'nt look cheap, the logo really looks nice and the stitch are really good..",https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Mason                                                    ,"ovember 22, 2020                                                            ","[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
rnOne of my best clothing purchases.,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Alex L.                                                    ,08-Dec-20,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
Great quality!,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Mila                                                    ,20-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
Ultra Game NBA Men's Woven Active Basketball Shorts,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Amelia                                                    ,19-Jun-20,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
"Great look, fits well, he loves them.",https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Benjamin                                                    ,20-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
"great price, great fit",https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Julian                                                    ,19-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
hese shorts are awesome for the price.,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Luke                                                    ,19-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
Fit to size. It fits the same way as the same size in Jordan brand. I love this and it looks real nice.,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,jacki                                                    ,18-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
"Perfect fit, super comfortable fabric. My son loves them!",https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Bradley                                                    ,18-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
"Great item, amazing price!",https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Julian                                                    ,19-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
"Great look, great fit",https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Jacob                                                    ,13-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
rnFits very well.,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,uck                                                    ,16-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
Good shorts for my son who is basketball fan,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Matthew                                                    ,17-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
Order the size you usually wear.,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Robert                                                    ,10-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
"Great item, amazing price!",https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Ernest                                                    ,12-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
Always fit perfectly wish I could get more at this great price,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Owen                                                    ,08-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
rn100% fit as expected.,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Charlotte                                                    ,09-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
Love these shorts comfy and beathable,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Henry                                                    ,07-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
hey look great and are super comfortable. I've only had them for a short time and I have gotten lots of use out of them,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Slaughter                                                    ,08-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
Fits very well.,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Levi                                                    ,06-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
I gave these shorts as a Birthday gift and he absolutely loves them very comfortable,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,William                                                    ,07-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
My nephew really loves these shorts. He says they are comfortable and fit great. They wash well and have not faded. He is very happy.,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Larry                                                    ,06-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
Cool shorts. Happy with the purchase.,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Aleen                                                    ,28-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
"Great look, fits well, he loves them.",https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Edwards                                                    ,28-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
"hese are good quality, fit as expected and made my teenager happy.",https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,oah k.                                                    ,05-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
Outside design keeps shorts cool . Mesh makes it breathable.,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Harper                                                    ,27-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
rnThese are up to knee length and slightly thick.,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Jackson                                                    ,27-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
best shorts,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Emma                                                    ,26-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
"Excellent shorts for the money .well made ,sturdy ,you won't be disappointed. shorts are awesome for the price",https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Crivello                                                    ,24-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
My fiancu00e9 is IN LOVE with these shorts. They fit perfect. Go Pelicans!,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Aiden                                                    ,25-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
